campaign,estimate,se,lb,ub,estimate_att,se_att,lb_att,ub_att,term,n_boots,raw_estimate,raw_estimate_se,raw_estimate_att,raw_estimate_se_att,outcome,threshold,dv,prop_reached,obs,reach
R1,-0.0337989931,0.0180103357,-0.0688048272,0.0014418351,-0.0658593006625098,0.0350941849181606,-0.1340702011,0.0028094995,conditionC,5000,-0.0339585832513776,0.0181478377896232,-0.0661702713393952,0.0353621157241294,count,70,pc1,0.5132,1,0.5132
R2,-0.0376174892,0.0256904247,-0.0882703527,0.0122429127,-0.0585121934982112,0.0399602188520765,-0.1373002842,0.0190432613,conditionC,5000,-0.0375446889311267,0.0256128131856904,-0.0583989561846737,0.0398394978778821,count,70,truckerDV,0.6429,2,0.6429
R3,-0.0435203682,0.0226543371,-0.0871282605,-0.000597546,-0.0695880527662296,0.0362237561560601,-0.1393160546,-0.000955462,conditionC,5000,-0.0434073529128343,0.0225905445236123,-0.0694073439604002,0.0361217533156576,count,70,pc1,0.6254,3,0.6254
