campaign,estimate,se,lb,ub,estimate_att,se_att,lb_att,ub_att,term,n_boots,raw_estimate,raw_estimate_se,raw_estimate_att,raw_estimate_se_att,outcome,threshold,dv,prop_reached,obs,reach
R1,-0.035839835,0.0183702347,-0.0713204719,4.04227e-05,-0.0698359996102884,0.0357954690179267,-0.1389720808,7.8766e-05,conditionC,5000,-0.0359795965279096,0.0183898116239204,-0.0701083330629572,0.0358336157909595,count,75,pc1,0.5132,1,0.5132
R2,-0.0376174892,0.0256904247,-0.0882703527,0.0122429127,-0.0585121934982112,0.0399602188520765,-0.1373002842,0.0190432613,conditionC,5000,-0.0375446889311267,0.0256128131856904,-0.0583989561846737,0.0398394978778821,count,75,hashtag,0.6429,2,0.6429
R3,-0.0361500223,0.0217974114,-0.0796982364,0.0056999317,-0.0578030417332907,0.0348535519667413,-0.1274356195,0.0091140577,conditionC,5000,-0.0361822928591426,0.0216491461804051,-0.0578546416040017,0.0346164793418693,count,75,pc1,0.6254,3,0.6254
