campaign,estimate,se,lb,ub,estimate_att,se_att,lb_att,ub_att,term,n_boots,raw_estimate,raw_estimate_se,raw_estimate_att,raw_estimate_se_att,outcome,threshold,dv,prop_reached,obs,reach
R1,-0.0358649213,0.0178183909,-0.0713479991,-0.0018028272,-0.0698848817225253,0.034720169329696,-0.1390257191,-0.0035129135,conditionC,5000,-0.0358786697627847,0.0179279878813037,-0.0699116714005936,0.0349337254117376,count,80,pc1,0.5132,1,0.5132
R2,-0.0376174892,0.0256904247,-0.0882703527,0.0122429127,-0.0585121934982112,0.0399602188520765,-0.1373002842,0.0190432613,conditionC,5000,-0.0375446889311267,0.0256128131856904,-0.0583989561846737,0.0398394978778821,count,80,truckerDV,0.6429,2,0.6429
R3,-0.0255831854,0.0207934696,-0.0657557628,0.0145773909,-0.0409069162136233,0.033248272465622,-0.1051419297,0.0233089078,conditionC,5000,-0.0262897089071061,0.0206294019632379,-0.0420366308076529,0.032985932144608,count,80,pc1,0.6254,3,0.6254
