campaign,estimate,se,lb,ub,estimate_att,se_att,lb_att,ub_att,term,n_boots,raw_estimate,raw_estimate_se,raw_estimate_att,raw_estimate_se_att,outcome,threshold,dv,prop_reached,obs,reach
R1,-0.0143827075,0.0214389254,-0.0558625094,0.0282660585,-0.0280255407248636,0.0417749910366329,-0.1088513434,0.0550780563,conditionC,5000,-0.0143789750192778,0.0214423741566519,-0.0280182677694424,0.0417817111392282,count,40,pc1,0.5132,1,0.5132
R2,-0.0376174892,0.0256904247,-0.0882703527,0.0122429127,-0.0585121934982112,0.0399602188520765,-0.1373002842,0.0190432613,conditionC,5000,-0.0375446889311267,0.0256128131856904,-0.0583989561846737,0.0398394978778821,count,40,truckerDV,0.6429,2,0.6429
R3,-0.0306381879,0.0295250907,-0.0877022338,0.0285560011,-0.0489897472017909,0.0472099307643108,-0.1402338244,0.0456603791,conditionC,5000,-0.0296221834532195,0.0292079618569453,-0.0473651798100728,0.0467028491476579,count,40,pc1,0.6254,3,0.6254
