campaign,estimate,se,lb,ub,estimate_att,se_att,lb_att,ub_att,term,n_boots,raw_estimate,raw_estimate_se,raw_estimate_att,raw_estimate_se_att,outcome,threshold,dv,prop_reached,obs,reach
R1,-0.0381436213,0.0185488352,-0.0740496004,-0.0017176384,-0.0743250609898675,0.0361434824629774,-0.1442899463,-0.0033469181,conditionC,5000,-0.0381307624268422,0.0186037589279525,-0.074300004728843,0.0362505045361506,count,65,pc1,0.5132,1,0.5132
R2,-0.0376174892,0.0256904247,-0.0882703527,0.0122429127,-0.0585121934982112,0.0399602188520765,-0.1373002842,0.0190432613,conditionC,5000,-0.0375446889311267,0.0256128131856904,-0.0583989561846737,0.0398394978778821,count,65,hashtag,0.6429,2,0.6429
R3,-0.0323927464,0.023393281,-0.0770655468,0.0121587927,-0.0517952452830189,0.0374053102014711,-0.1232260102,0.0194416257,conditionC,5000,-0.0331878522867352,0.0234511753992449,-0.0530666010341146,0.0374978819943155,count,65,pc1,0.6254,3,0.6254
