campaign,estimate,se,lb,ub,estimate_att,se_att,lb_att,ub_att,term,n_boots,raw_estimate,raw_estimate_se,raw_estimate_att,raw_estimate_se_att,outcome,threshold,dv,prop_reached,obs,reach
R1,-0.0286141738,0.0201662594,-0.0678698351,0.0109072839,-0.0557563791893998,0.0392951274356976,-0.1322483148,0.021253476,conditionC,5000,-0.0287172595530234,0.020011378712623,-0.0559572477650495,0.0389933334228819,count,50,pc1,0.5132,1,0.5132
R2,-0.0376174892,0.0256904247,-0.0882703527,0.0122429127,-0.0585121934982112,0.0399602188520765,-0.1373002842,0.0190432613,conditionC,5000,-0.0375446889311267,0.0256128131856904,-0.0583989561846737,0.0398394978778821,count,50,truckerDV,0.6429,2,0.6429
R3,-0.034902538,0.0292537938,-0.0934977105,0.0200855604,-0.0558083434601855,0.046776133354653,-0.1495006564,0.0321163422,conditionC,5000,-0.0349506491741146,0.028624307792981,-0.0558852721044366,0.0457695999248178,count,50,pc1,0.6254,3,0.6254
