campaign,estimate,se,lb,ub,estimate_att,se_att,lb_att,ub_att,term,n_boots,raw_estimate,raw_estimate_se,raw_estimate_att,raw_estimate_se_att,outcome,threshold,dv,prop_reached,obs,reach
R1,-0.0182636348,0.0202665995,-0.0584739518,0.0216456492,-0.0355877529228371,0.0394906459469992,-0.1139398904,0.0421778044,conditionC,5000,-0.0180664986867671,0.0205335174333263,-0.0352036217590942,0.0400107510392172,count,45,pc1,0.5132,1,0.5132
R2,-0.0376174892,0.0256904247,-0.0882703527,0.0122429127,-0.0585121934982112,0.0399602188520765,-0.1373002842,0.0190432613,conditionC,5000,-0.0375446889311267,0.0256128131856904,-0.0583989561846737,0.0398394978778821,count,45,hashtag,0.6429,2,0.6429
R3,-0.0434399425,0.0281568931,-0.0982616924,0.0114122757,-0.0694594539494724,0.0450222147425648,-0.1571181523,0.0182479625,conditionC,5000,-0.0420672295990735,0.0288952166304386,-0.0672645180669547,0.0462027768315295,count,45,pc1,0.6254,3,0.6254
