trucker,outcome,winsorize,threshold,estimate,se,low,high,pval,n_exps,Qm,Qm_pval,I2,I_resid
domain,count,0.99,45,-0.00163255547147233,0.0109435174611592,-0.0230814555595295,0.0198163446165849,0.881411490284548,4,4.65777203570668,0.030913279361166,0.366857670736255,0
domain,frac,0.9,45,-0.0001176391530197,8.00910010957656e-05,-0.000274614630653159,3.93363246137585e-05,0.141881994592799,4,1.29751851117849,0.254666994034853,0,0
domain,frac,0.925,45,-0.000127484559626939,8.6556632130717e-05,-0.000297132441226227,4.21633219723485e-05,0.140792658327535,4,0.852680862717259,0.355795039385214,0,0
domain,frac,0.95,45,-0.000128335924794281,9.2274011087038e-05,-0.000309189663233925,5.25178136453634e-05,0.164282039315403,4,0.537556196546864,0.463447286138861,0,0
domain,frac,0.975,45,-0.000116580674192738,0.000103567146984221,-0.000319568552263377,8.64072038779006e-05,0.260312406656773,4,0.136979856158395,0.71130209757029,0,0
domain,frac,0.99,45,-8.02592184421211e-05,0.00011793584221853,-0.000311409221676838,0.000150890784792596,0.49616710955079,4,0.01892088589448,0.890593536007088,0,0
domain,sum,0.9,45,-0.00456589331518227,0.00686150361108812,-0.0180141932727065,0.00888240664234196,0.505771497975864,4,4.95110484032457,0.0260740004631536,0.53842208028222,0
domain,sum,0.925,45,-0.00448705087666223,0.00703342759226908,-0.0182723156453799,0.00929821389205544,0.523499217949825,4,5.32320767799055,0.0210432403386068,0.549293730184675,0
domain,sum,0.95,45,-0.00407614302553579,0.00726412525931034,-0.0183135669129717,0.0101612808619002,0.574706626761489,4,5.10727498511088,0.0238257140318006,0.529167560657963,0
domain,sum,0.975,45,-0.00443922000243004,0.00770933200569343,-0.0195492330784511,0.010670793073591,0.564734008549832,4,4.79446024017575,0.0285514013070723,0.497985195201424,0
domain,sum,0.99,45,-0.00469533513005185,0.00837528777212078,-0.0211105975235673,0.0117199272634636,0.575058136833212,4,4.41071287352761,0.0357139135603087,0.471546320521574,0
domain,count,0.9,50,-0.00280602489012461,0.00886397685006506,-0.0201791002760489,0.0145670504957997,0.75157369177719,4,9.47329460093474,0.00208484608713519,0.711329713601377,0
domain,count,0.925,50,-0.00154605187413191,0.00899794439566619,-0.0191816988245317,0.0160895950762678,0.863576851312075,4,9.25963751086925,0.00234259383377098,0.689282380782282,0
domain,count,0.95,50,-0.00232256925440894,0.00924360338394725,-0.0204396989743181,0.0157945604655002,0.801611303193501,4,9.57108909921659,0.00197665484167254,0.692986340495985,0
domain,count,0.975,50,-0.00308602156084228,0.00967839410797582,-0.0220553254406595,0.015883282318975,0.749835121026891,4,8.1151409099118,0.00438970605490716,0.633161964854188,0
domain,count,0.99,50,-0.00226420555635575,0.0104950862094773,-0.0228341965415742,0.0183057854288627,0.82919074239729,4,5.66059241629201,0.0173502616407659,0.479995751964294,0
domain,frac,0.9,50,-0.000129024771339064,8.43594872876962e-05,-0.000294366328177213,3.63167854990852e-05,0.126149537880548,4,1.19749057758069,0.27382380842754,0,0
domain,frac,0.925,50,-0.000144700835826096,9.08620832592549e-05,-0.000322787246574516,3.33855749223229e-05,0.111265069006521,4,0.777180116779897,0.378004950101348,0,0
domain,frac,0.95,50,-0.000149933765597288,9.85699132476977e-05,-0.000343127245522012,4.32597143274374e-05,0.12823711039801,4,0.533280398037957,0.465230967787816,0,0
