trucker,outcome,winsorize,threshold,estimate,se,low,high,pval,n_exps
domain,count,0.95,50,-0.0261832543047851,0.0120386374414245,-0.0497785501129125,-0.00258795849665771,0.0296349852796937,3
domain,count,0.975,50,-0.0251712911698748,0.0124006507359655,-0.0494761199972273,-0.000866462342522384,0.0423731804641587,3
domain,count,0.99,50,-0.0206951061800685,0.0130444580233659,-0.0462617741037102,0.00487156174357318,0.112624654534514,3
domain,frac,0.9,50,-0.000209787116321932,0.000112086471601384,-0.000429472563814815,9.89833117095185e-06,0.0612544585037195,3
domain,frac,0.925,50,-0.000210864641502718,0.000117850127610687,-0.000441846647193113,2.01173641876776e-05,0.0735727858925181,3
domain,frac,0.95,50,-0.000212427033510209,0.000130535036181591,-0.000468271003146761,4.34169361263426e-05,0.103661414502811,3
domain,frac,0.975,50,-0.000189423731516834,0.000144041217171623,-0.000471739329462528,9.28918664288602e-05,0.18848766561388,3
domain,frac,0.99,50,-0.000128184286808983,0.000158065805413034,-0.000437987572605846,0.00018161899898788,0.417391398730509,3
domain,sum,0.9,50,-0.0185074605012614,0.00938433694285307,-0.0369004229280422,-0.000114498074480704,0.0485907781762366,3
domain,sum,0.925,50,-0.0193614715108764,0.00960451146246621,-0.0381859680664123,-0.000536974955340563,0.0438132992538441,3
domain,sum,0.95,50,-0.0190868771204419,0.0099065209246381,-0.038503301344825,0.000329547103941192,0.0540172386517597,3
domain,sum,0.975,50,-0.0193744830046286,0.0104067457962284,-0.0397713299614998,0.00102236395224256,0.0626420771193578,3
domain,sum,0.99,50,-0.0195667240540029,0.0110906807414796,-0.0413040588713348,0.00217061076332913,0.077690041298161,3
domain,count,0.9,55,-0.0218475509264504,0.0111401415216028,-0.0436818270914711,-1.32747614296526e-05,0.0498608745001237,3
domain,count,0.925,55,-0.0219217899025346,0.0113545590673694,-0.0441763167349114,0.0003327369298422,0.0535251464770713,3
domain,count,0.95,55,-0.0221537858301888,0.0115627871225277,-0.0448164321512466,0.000508860490869054,0.0553707574308327,3
domain,count,0.975,55,-0.0218425794369965,0.0119426184049474,-0.0452496813917986,0.00156452251780565,0.0674054993677346,3
domain,count,0.99,55,-0.0179027396994748,0.0125471860102853,-0.0424947723869587,0.0066892929880092,0.153628021959544,3
domain,frac,0.9,55,-0.000180466574885839,0.000130508146303366,-0.00043625784132952,7.53246915578424e-05,0.16672641009385,3
domain,frac,0.925,55,-0.00018018977488577,0.000136761764466773,-0.000448237907702795,8.7858357931255e-05,0.187656017558143,3
domain,frac,0.95,55,-0.000178092711991454,0.000154160378248033,-0.000480241501200671,0.000124056077217763,0.247990892927314,3
domain,frac,0.975,55,-0.000144851570753516,0.00016856678834788,-0.000475236404904947,0.000185533263397915,0.39016805619058,3
domain,frac,0.99,55,-6.24967531100697e-05,0.000191725075246844,-0.000438270995527116,0.000313277489306977,0.744446538714479,3
domain,sum,0.9,55,-0.0184729847092022,0.00937919722909505,-0.0368558734821263,-9.0095936277991e-05,0.0488876822025888,3
domain,sum,0.925,55,-0.0191533908027016,0.00962133209924514,-0.0380108552005213,-0.000295926404882008,0.0465115350138844,3
domain,sum,0.95,55,-0.0187441647461361,0.00992157384471183,-0.0381900921517259,0.000701762659453643,0.0588606143500606,3
domain,sum,0.975,55,-0.0189776369610746,0.0104170047990943,-0.0393945911940803,0.00143931727193109,0.0684862467500051,3
domain,sum,0.99,55,-0.019218949479674,0.0110771944496981,-0.0409298516508292,0.00249195269148121,0.082740531630736,3
domain,count,0.9,60,-0.0233436329157286,0.0107417975162,-0.0443971691767024,-0.00229009665475472,0.0297683596396549,3
domain,count,0.925,60,-0.0228053628886971,0.0109434704843813,-0.0442541709039615,-0.00135655487343271,0.0371670634003999,3
domain,count,0.95,60,-0.0216978210696808,0.0112016136064391,-0.0436525803070352,0.000256938167673693,0.0527421186114015,3
domain,count,0.975,60,-0.0204783120442638,0.0116827993631937,-0.043376178034731,0.00241955394620341,0.0796260358954729,3
domain,count,0.99,60,-0.0193933645754031,0.0123179835875817,-0.0435361687692188,0.00474943961841256,0.115396294000356,3
domain,frac,0.9,60,-0.000166486537859374,0.000148026096413702,-0.000456612355602283,0.000123639279883536,0.260711636475875,3
domain,frac,0.925,60,-0.000169496382872481,0.000155949635852682,-0.000475152052545874,0.000136159286800913,0.277095960725958,3
domain,frac,0.95,60,-0.000156411825049019,0.000171027841692695,-0.000491620235120319,0.000178796585022282,0.360433099905808,3
domain,frac,0.975,60,-0.000140853845991158,0.000187374616110813,-0.000508101345185369,0.000226393653203054,0.452217535681802,3
domain,frac,0.99,60,-8.01564726724855e-05,0.000210207919993057,-0.000492156425123954,0.000331843479778983,0.702965855062408,3
domain,sum,0.9,60,-0.0184151128388877,0.00937099415775712,-0.0367819238874269,-4.83017903484574e-05,0.0494005380064815,3
domain,sum,0.925,60,-0.0189900905611082,0.00961314454250683,-0.0378315076425993,-0.000148673479617036,0.0482194131342535,3
domain,sum,0.95,60,-0.0184413421290063,0.00991323961097737,-0.0378709347366378,0.000988250478625195,0.0628467668943684,3
domain,sum,0.975,60,-0.0185234323084173,0.0104076184726696,-0.0389219896796835,0.00187512506284888,0.0751094377305242,3
domain,sum,0.99,60,-0.0189809326603768,0.0110803057813816,-0.0406979329295758,0.00273606760882213,0.0867064154727677,3
domain,count,0.9,65,-0.0210059486006877,0.0103816995211039,-0.0413537057603681,-0.000658191441007369,0.0430357169760453,3
domain,count,0.925,65,-0.0217617753019978,0.0105386258403643,-0.0424171023956551,-0.00110644820834057,0.0389273734315205,3
domain,count,0.95,65,-0.0217564831425641,0.0107823609037646,-0.0428895221822555,-0.000623444102872777,0.0436136862983768,3
domain,count,0.975,65,-0.0216768767504703,0.0112066128867192,-0.0436414343971222,0.000287680896181721,0.0530770707561513,3
domain,count,0.99,65,-0.0204630350254965,0.0118407018616433,-0.0436703842259937,0.00274431417500068,0.0839533717008869,3
domain,frac,0.9,65,-8.38744321179988e-05,0.000172886527979814,-0.00042272580037061,0.000254976936134613,0.62757596501174,3
domain,frac,0.925,65,-0.000104066034084333,0.000181436891283183,-0.000459675806466281,0.000251543738297616,0.566261517197993,3
domain,frac,0.95,65,-0.000113123039845269,0.000193120700767775,-0.000491632658019245,0.000265386578328707,0.558034516864459,3
domain,frac,0.975,65,-6.46915220461511e-05,0.000216217950688665,-0.000488470918206991,0.000359087874114689,0.764790585563859,3
domain,frac,0.99,65,-2.90326989896365e-05,0.00023376836888074,-0.000487210282720561,0.000429144884741288,0.901161435056374,3
domain,sum,0.9,65,-0.0183800184671011,0.00939213264965436,-0.0367882601984464,2.82232642442176e-05,0.050352289582356,3
domain,sum,0.925,65,-0.0189255846736863,0.00960808098387172,-0.037757077362619,-9.40919847535783e-05,0.0488662280722821,3
domain,sum,0.95,65,-0.0183055853283653,0.00991149959535892,-0.0377317675680521,0.00112059691132147,0.0647610976314099,3
domain,sum,0.975,65,-0.0181725334880295,0.0104065227811456,-0.0385689433433705,0.00222387636731149,0.0807651319129137,3
domain,sum,0.99,65,-0.0187096884867406,0.0110833986733403,-0.0404327507127866,0.00301337373930532,0.0913954426938612,3
domain,count,0.9,70,-0.0233908878845091,0.0101484774540426,-0.0432815381923494,-0.00350023757666886,0.0211740393061112,3
domain,count,0.925,70,-0.0241751625312617,0.0103243786887534,-0.0444105729239712,-0.00393975213855222,0.0192032873784348,3
domain,count,0.95,70,-0.0240823785453667,0.0105841081019838,-0.0448268492337335,-0.00333790785699984,0.022885915351331,3
domain,count,0.975,70,-0.0243629234742597,0.0110318490892668,-0.0459849503721036,-0.00274089657641587,0.0272152152671267,3
domain,count,0.99,70,-0.0229983731054404,0.0116939918796734,-0.045918176025104,-7.85701857767378e-05,0.0492197869634739,3
domain,frac,0.9,70,-0.00015764916023971,0.000197119800085218,-0.000543996869046472,0.000228698548567052,0.42384801354856,3
domain,frac,0.925,70,-0.000192188581875802,0.000206051797916953,-0.000596042684742756,0.000211665520991151,0.350964683800139,3
domain,frac,0.95,70,-0.000182288796374878,0.00022442984455393,-0.000622163208756503,0.000257585616006747,0.416659300945588,3
domain,frac,0.975,70,-0.000175979297512854,0.000241709433583543,-0.000649721082060175,0.000297762487034466,0.466576029424552,3
domain,frac,0.99,70,-9.47803466197277e-05,0.000264294118876344,-0.000612787300943109,0.000423226607703654,0.719881676758595,3
domain,sum,0.9,70,-0.0178627518068163,0.00937581594401617,-0.0362390133827644,0.000513509769131761,0.056754809000974,3
domain,sum,0.925,70,-0.0184645516515047,0.00959328437398405,-0.0372670435179643,0.000337940214954917,0.054262239566341,3
domain,sum,0.95,70,-0.0177924600515512,0.00990055055791454,-0.0371971825721816,0.00161226246907922,0.0723168496859043,3
domain,sum,0.975,70,-0.017431233843485,0.0104097270811644,-0.0378339240114583,0.00297145632448843,0.0940296232165439,3
domain,sum,0.99,70,-0.0180333070845163,0.0110691070669946,-0.0397283582768435,0.00366174410781084,0.10327990530106,3
domain,count,0.9,75,-0.0214777726494207,0.0100284953161641,-0.041133262288231,-0.00182228301061049,0.0322196844254911,3
domain,count,0.925,75,-0.0225790695478958,0.0102272426197591,-0.0426240967437766,-0.00253404235201496,0.0272625601129395,3
