campaign,estimate,se,lb,ub,estimate_att,se_att,lb_att,ub_att,term,n_boots,raw_estimate,raw_estimate_se,raw_estimate_att,raw_estimate_se_att,outcome,threshold,dv,prop_reached,obs,reach
R1,-0.0281424018,0.0196160159,-0.0661051405,0.0110782513,-0.0548371040530008,0.0382229460249415,-0.1288097047,0.021586616,conditionC,5000,-0.0287061353581757,0.0196970013631952,-0.0559355716254398,0.0383807509025627,count,55,pc1,0.5132,1,0.5132
R2,-0.0376174892,0.0256904247,-0.0882703527,0.0122429127,-0.0585121934982112,0.0399602188520765,-0.1373002842,0.0190432613,conditionC,5000,-0.0375446889311267,0.0256128131856904,-0.0583989561846737,0.0398394978778821,count,55,hashtag,0.6429,2,0.6429
R3,-0.0379282204,0.0269945056,-0.0895061464,0.0150779885,-0.0606463389830509,0.0431635842660697,-0.1431182386,0.0241093515,conditionC,5000,-0.0384546104751935,0.0268943257638644,-0.0614880244246778,0.0430033990467932,count,55,pc1,0.6254,3,0.6254
